Año,Ventas,Retail,AP_AnC,CAPEX,PIB,Inflación
2008,244917,2243854,73701,11316,1109.99,5.13
2009,270451,2263837,79265,9735,900.05,5.3
2010,335857,2366038,125695,13130,1057.8,4.16
2011,380907,2516975,135820,18352,1180.49,3.4
2012,412060,2827168,135991,14660,1201.09,4.11
2013,423823,2946624,139270,13987,1274.44,3.8
2014,440988,3036967,147892,12691,1315.36,4.02
2015,475911,3234206,157385,12526,1171.87,2.72
2016,532384,3498472,171238,14335,1078.49,2.82
2017,573371,3787143,175088,17426,1158.91,6.04
2018,616910,4039711,178594,17933,1222.41,4.9
2019,646846,4293736,183548,20575,1269.4,3.63
2020,701734,4217760,186985,16728,1087.12,3.4
2021,736044,4583356,195038,20466,1294.83,5.69
